UserID,UserName,Age,Gender,Email,AgeGroup,EnrollmentCount,LearnerSegment
U00028,zgomez,30,Female,rwhitaker@outlook.com,26-35,12,Highly Active
U00029,hartmanjon,30,Male,nicole88@gmail.com,26-35,1,Single-course
U00030,david76,34,Male,robert64@outlook.com,26-35,1,Single-course
U00031,lovedavid,30,Male,fbooth@yahoo.com,26-35,1,Single-course
U00032,veronica83,18,Male,andrea24@yahoo.com,18-25,1,Single-course
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,18-25,1,Single-course
U00034,ilopez,32,Female,scottwatts@yahoo.com,26-35,2,Moderate
U00035,chernandez,32,Male,bryangilbert@yahoo.com,26-35,1,Single-course
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,18-25,1,Single-course
U00037,lisabraun,31,Female,ericbrown@hotmail.com,26-35,2,Moderate
U00038,williamselizabeth,35,Male,kpham@gmail.com,26-35,1,Single-course
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,<18,1,Single-course
U00040,briannamurphy,15,Male,ohobbs@gmail.com,<18,1,Single-course
U00041,april65,19,Female,imccarthy@yahoo.com,18-25,2,Moderate
U00042,christopher62,32,Male,patrickterrance@outlook.com,26-35,1,Single-course
U00043,tommy21,31,Male,gordonhenry@hotmail.com,26-35,1,Single-course
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,18-25,1,Single-course
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,18-25,14,Highly Active
U00046,usimpson,29,Female,hmarquez@hotmail.com,26-35,2,Moderate
U00047,westbrian,34,Male,lclark@outlook.com,26-35,1,Single-course
U00048,willie71,19,Male,zgarza@hotmail.com,18-25,13,Highly Active
U00049,nclark,32,Male,thomaskenneth@gmail.com,26-35,1,Single-course
U00050,rewing,33,Male,syoung@gmail.com,26-35,1,Single-course
U00051,crystal12,32,Female,bonnie35@gmail.com,26-35,1,Single-course
U00052,daniel48,25,Female,tweber@gmail.com,18-25,1,Single-course
U00053,tara07,34,Female,bergertimothy@hotmail.com,26-35,1,Single-course
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,18-25,1,Single-course
U00055,hallandrea,31,Female,michelle73@gmail.com,26-35,16,Highly Active
U00056,vcrawford,22,Female,markfinley@gmail.com,18-25,2,Moderate
U00057,thomasrobin,18,Male,cedwards@yahoo.com,18-25,1,Single-course
U00058,egomez,30,Female,jimmymurphy@outlook.com,26-35,1,Single-course
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,26-35,1,Single-course
U00060,albert28,26,Male,stephanie43@yahoo.com,26-35,4,Moderate
U00061,vincent12,32,Female,yscott@outlook.com,26-35,1,Single-course
U00062,howenathaniel,28,Female,tbrown@yahoo.com,26-35,1,Single-course
U00063,lisawong,34,Female,denise33@outlook.com,26-35,2,Moderate
U00064,donnabarker,33,Female,gellis@yahoo.com,26-35,1,Single-course
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,26-35,1,Single-course
U00066,wwest,26,Female,gomezkatherine@gmail.com,26-35,1,Single-course
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,26-35,1,Single-course
U00068,marshmichelle,32,Male,mcoleman@outlook.com,26-35,1,Single-course
U00069,gainesandrew,27,Female,woodashley@outlook.com,26-35,2,Moderate
U00070,mgonzales,25,Female,vwang@gmail.com,18-25,2,Moderate
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,26-35,14,Highly Active
U00072,hallanthony,17,Female,sharon51@hotmail.com,<18,1,Single-course
U00073,katie83,16,Male,lydia56@gmail.com,<18,1,Single-course
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,18-25,3,Moderate
U00075,hfarley,22,Male,torresshawn@hotmail.com,18-25,1,Single-course
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,26-35,4,Moderate
U00077,shannon49,20,Male,shane75@yahoo.com,18-25,1,Single-course
U00078,ahouston,32,Female,ashleywalker@outlook.com,26-35,1,Single-course
U00079,aburke,28,Male,stoutdylan@outlook.com,26-35,1,Single-course
U00080,mortonandrew,35,Female,cindycox@yahoo.com,26-35,1,Single-course
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,18-25,1,Single-course
U00082,susankidd,31,Male,jasonhicks@yahoo.com,26-35,1,Single-course
U00083,james92,16,Male,kconrad@gmail.com,<18,15,Highly Active
U00084,xperez,20,Male,ericafrank@yahoo.com,18-25,1,Single-course
U00085,scottluna,22,Female,adam86@yahoo.com,18-25,13,Highly Active
U00086,nicole62,27,Female,anewton@yahoo.com,26-35,4,Moderate
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,18-25,3,Moderate
U00088,tgarcia,23,Male,debrawilson@yahoo.com,18-25,1,Single-course
U00089,austinspears,30,Male,browningjennifer@hotmail.com,26-35,1,Single-course
U00090,sethchavez,34,Male,teresa45@outlook.com,26-35,1,Single-course
U00091,joseph88,35,Male,owenspatricia@gmail.com,26-35,1,Single-course
U00092,carl44,31,Male,sabrina47@yahoo.com,26-35,4,Moderate
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,<18,1,Single-course
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,26-35,1,Single-course
U00095,ojohnson,20,Male,chloe04@yahoo.com,18-25,1,Single-course
U00096,wesley99,34,Female,xdavis@hotmail.com,26-35,4,Moderate
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,18-25,2,Moderate
U00098,sarah43,31,Male,natasha16@yahoo.com,26-35,1,Single-course
U00099,wharrison,29,Female,robertsshawn@yahoo.com,26-35,1,Single-course
U00100,swallace,32,Female,douglascampbell@outlook.com,26-35,1,Single-course
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,<18,1,Single-course
U00102,vweiss,32,Male,cherylking@yahoo.com,26-35,1,Single-course
U00103,felicia29,30,Female,ssims@hotmail.com,26-35,1,Single-course
U00104,diazsara,19,Male,mosschad@yahoo.com,18-25,1,Single-course
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,26-35,1,Single-course
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,18-25,2,Moderate
U00107,hayley84,18,Female,wwood@hotmail.com,18-25,1,Single-course
U00108,jowen,32,Male,jasonjordan@yahoo.com,26-35,2,Moderate
U00109,amyschmidt,15,Female,alicia06@yahoo.com,<18,14,Highly Active
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,26-35,1,Single-course
U00111,cynthia90,24,Male,kayla61@outlook.com,18-25,1,Single-course
U00112,williamswilliam,34,Female,qmiller@yahoo.com,26-35,14,Highly Active
U00113,becky55,19,Male,lclark@hotmail.com,18-25,1,Single-course
U00114,lvasquez,22,Female,markwilliams@hotmail.com,18-25,1,Single-course
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,26-35,1,Single-course
U00116,schultzaustin,31,Male,psmith@outlook.com,26-35,1,Single-course
U00117,kristin26,19,Female,megan10@gmail.com,18-25,13,Highly Active
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,26-35,1,Single-course
U00119,phillipsrobert,28,Male,wlee@yahoo.com,26-35,1,Single-course
U00120,faguilar,15,Male,ashley54@gmail.com,<18,2,Moderate
U00121,htanner,27,Female,donaldbrennan@hotmail.com,26-35,2,Moderate
U00122,derekgreer,21,Female,elizabeth42@gmail.com,18-25,2,Moderate
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,18-25,2,Moderate
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,18-25,2,Moderate
U00125,michelle70,35,Female,simsbruce@yahoo.com,26-35,2,Moderate
U00126,zhall,23,Female,juliecervantes@yahoo.com,18-25,14,Highly Active
U00127,brian60,34,Female,annablair@hotmail.com,26-35,3,Moderate
U00128,misty15,35,Female,thomasharris@yahoo.com,26-35,13,Highly Active
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,18-25,2,Moderate
U00130,eherring,17,Male,joshua83@yahoo.com,<18,1,Single-course
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,18-25,1,Single-course
U00132,kathysharp,22,Male,sean85@yahoo.com,18-25,1,Single-course
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,18-25,14,Highly Active
U00134,syoung,26,Female,kroy@gmail.com,26-35,14,Highly Active
U00135,josephmichael,17,Female,clarknicholas@gmail.com,<18,1,Single-course
U00136,millerleslie,25,Female,william31@gmail.com,18-25,1,Single-course
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,<18,2,Moderate
U00138,sarafuentes,26,Male,ugonzales@gmail.com,26-35,2,Moderate
U00139,qharrell,16,Female,daniel87@yahoo.com,<18,4,Moderate
U00140,william81,24,Female,ewalker@hotmail.com,18-25,2,Moderate
U00141,jenkinswilliam,20,Male,nicolerodriguez@gmail.com,18-25,1,Single-course
U00142,brian08,17,Female,stephenhenry@gmail.com,<18,1,Single-course
U00143,sherri37,26,Male,lopezbrian@outlook.com,26-35,2,Moderate
U00144,rodgerspaul,24,Female,amy66@hotmail.com,18-25,13,Highly Active
U00145,shawnbrown,23,Female,amandasingh@yahoo.com,18-25,1,Single-course
U00146,ihernandez,30,Female,rgarcia@outlook.com,26-35,1,Single-course
U00147,patricklaura,30,Male,barbarapatterson@yahoo.com,26-35,12,Highly Active
U00148,andersenmichael,35,Female,rsmith@outlook.com,26-35,1,Single-course
U00149,jacksonanthony,17,Female,yspencer@gmail.com,<18,10,Highly Active
U00150,nsmith,25,Male,zjefferson@gmail.com,18-25,2,Moderate
U00151,johnjohnson,16,Female,heathrodney@hotmail.com,<18,1,Single-course
U00152,hhill,19,Female,keith03@outlook.com,18-25,12,Highly Active
U00153,scottgilbert,35,Male,sextondillon@yahoo.com,26-35,2,Moderate
U00154,jessicabailey,29,Male,colleen99@outlook.com,26-35,1,Single-course
U00155,browningstephanie,27,Male,cindy51@gmail.com,26-35,2,Moderate
U00156,phill,17,Male,natalie68@outlook.com,<18,1,Single-course
U00157,derek60,32,Female,dhall@hotmail.com,26-35,2,Moderate
U00158,nicholas56,35,Female,lisa06@yahoo.com,26-35,1,Single-course
U00159,rodriguezraymond,16,Male,richardsonwilliam@yahoo.com,<18,2,Moderate
U00160,kingspencer,28,Female,gillvalerie@yahoo.com,26-35,1,Single-course
U00161,lawrence17,25,Female,tstone@outlook.com,18-25,11,Highly Active
U00162,charlesayala,26,Male,kmyers@gmail.com,26-35,1,Single-course
U00163,clinejacqueline,32,Female,johnsonshelly@hotmail.com,26-35,1,Single-course
U00164,james63,32,Male,jessica46@outlook.com,26-35,2,Moderate
U00165,wcarroll,30,Male,angela19@hotmail.com,26-35,4,Moderate
U00166,campbellkelsey,33,Male,hinesjoshua@gmail.com,26-35,15,Highly Active
U00167,rogersjohn,31,Female,jonathan94@hotmail.com,26-35,1,Single-course
U00168,gillespiekimberly,24,Female,michael38@outlook.com,18-25,1,Single-course
U00169,vasquezjohn,24,Male,youngmaurice@yahoo.com,18-25,13,Highly Active
U00170,millerdavid,34,Female,mark06@hotmail.com,26-35,3,Moderate
U00171,egardner,24,Male,obrienmolly@outlook.com,18-25,2,Moderate
U00172,nglass,35,Female,charleshernandez@hotmail.com,26-35,1,Single-course
U00173,fernando38,31,Male,patriciagarcia@gmail.com,26-35,14,Highly Active
U00174,michelle60,29,Male,sgriffith@yahoo.com,26-35,1,Single-course
U00175,xlambert,32,Female,leonardlisa@gmail.com,26-35,2,Moderate
U00176,gary81,34,Male,jameshartman@hotmail.com,26-35,1,Single-course
U00177,torreschristine,29,Female,adriana95@yahoo.com,26-35,14,Highly Active
U00178,gonzaleslisa,20,Male,robertspencer@outlook.com,18-25,14,Highly Active
U00179,mariaavila,34,Male,tpineda@outlook.com,26-35,2,Moderate
U00180,xglenn,26,Female,bruce16@hotmail.com,26-35,1,Single-course
U00181,stephanie98,32,Female,angela26@yahoo.com,26-35,1,Single-course
U00182,nancyibarra,28,Female,rmadden@gmail.com,26-35,1,Single-course
U00183,christopherhall,33,Male,virginia17@outlook.com,26-35,1,Single-course
U00184,kroth,28,Male,nrhodes@hotmail.com,26-35,1,Single-course
U00185,jwalls,27,Male,carrillomichael@outlook.com,26-35,1,Single-course
U00186,alexbrown,28,Female,nortonlisa@outlook.com,26-35,2,Moderate
U00187,taylor05,18,Male,staceygiles@hotmail.com,18-25,1,Single-course
U00188,robertsedward,18,Male,wschmidt@gmail.com,18-25,1,Single-course
U00189,latoya45,18,Male,normangabriela@hotmail.com,18-25,1,Single-course
U00190,hroberts,25,Female,hcabrera@yahoo.com,18-25,1,Single-course
U00191,foleypaul,34,Male,jeremycole@gmail.com,26-35,12,Highly Active
U00192,nathanieldorsey,17,Male,briannarichardson@yahoo.com,<18,14,Highly Active
U00193,stevenjames,33,Male,carriedrake@yahoo.com,26-35,1,Single-course
U00194,carolynpage,35,Male,jacksonandrew@outlook.com,26-35,1,Single-course
U00195,stewartlisa,15,Male,powens@outlook.com,<18,1,Single-course
U00196,susan34,23,Female,alexandragreen@outlook.com,18-25,1,Single-course
U00197,parksderek,35,Female,michaelwallace@hotmail.com,26-35,1,Single-course
U00198,brian71,30,Female,lewismargaret@hotmail.com,26-35,12,Highly Active
U00199,millerstephanie,24,Female,davisjeremy@gmail.com,18-25,1,Single-course
U00200,ronald67,32,Male,bobbymurphy@outlook.com,26-35,4,Moderate
U00201,yalvarado,16,Male,orosales@gmail.com,<18,3,Moderate
U00202,awilson,28,Female,harrisrichard@yahoo.com,26-35,1,Single-course
U00203,samantha00,25,Female,ybyrd@yahoo.com,18-25,2,Moderate
U00204,loribates,28,Female,robertmitchell@gmail.com,26-35,1,Single-course
U00205,christinecampbell,32,Male,markmahoney@outlook.com,26-35,1,Single-course
U00206,lisa94,19,Female,morriscindy@outlook.com,18-25,1,Single-course
U00207,evelyn98,33,Male,carsonjamie@yahoo.com,26-35,2,Moderate
U00208,kingrobin,18,Female,jamesholt@yahoo.com,18-25,15,Highly Active
U00209,parkssarah,26,Male,padillakathy@hotmail.com,26-35,1,Single-course
U00210,mscott,30,Male,umitchell@hotmail.com,26-35,2,Moderate
U00211,maryspencer,22,Male,amandabrown@gmail.com,18-25,1,Single-course
U00212,mike97,30,Female,loriknight@yahoo.com,26-35,2,Moderate
U00213,susan03,15,Male,serranotammy@hotmail.com,<18,2,Moderate
U00214,danielle41,24,Female,annaparker@gmail.com,18-25,1,Single-course
U00215,sandra29,28,Male,hatfieldmark@hotmail.com,26-35,1,Single-course
U00216,taylorelizabeth,23,Male,peckamy@outlook.com,18-25,16,Highly Active
U00217,garychandler,28,Male,carla25@outlook.com,26-35,1,Single-course
U00218,gregory81,15,Female,lisa37@hotmail.com,<18,1,Single-course
U00219,daniellebishop,23,Female,josephlawrence@outlook.com,18-25,1,Single-course
U00220,laura88,20,Male,dlewis@hotmail.com,18-25,15,Highly Active
U00221,lgallagher,27,Male,youngtammy@gmail.com,26-35,1,Single-course
U00222,bentonkatrina,28,Male,flowe@outlook.com,26-35,1,Single-course
U00223,patricia65,35,Female,yolandaglenn@outlook.com,26-35,1,Single-course
U00224,denisebailey,15,Female,devin32@gmail.com,<18,1,Single-course
U00225,sheila72,18,Male,fpark@yahoo.com,18-25,1,Single-course
U00226,marioperez,34,Female,jdougherty@hotmail.com,26-35,1,Single-course
U00227,victoria90,23,Male,alyssahoward@gmail.com,18-25,2,Moderate
U00228,joshuarangel,18,Male,jaredpeters@yahoo.com,18-25,1,Single-course
U00229,charles00,22,Male,nielsenelizabeth@gmail.com,18-25,2,Moderate
U00230,karen41,17,Female,swansonlisa@hotmail.com,<18,2,Moderate
U00231,rodgersdaniel,16,Male,richard17@hotmail.com,<18,2,Moderate
U00232,timothywatkins,26,Female,lisarodriguez@yahoo.com,26-35,1,Single-course
U00233,robinsonmichael,32,Male,virginiataylor@outlook.com,26-35,1,Single-course
U00234,emily05,32,Male,whuynh@outlook.com,26-35,2,Moderate
U00235,williamscharles,34,Male,joneschristopher@outlook.com,26-35,3,Moderate
U00236,colin32,25,Female,vmora@yahoo.com,18-25,1,Single-course
U00237,anthony70,20,Male,meghan00@gmail.com,18-25,1,Single-course
U00238,joshuaescobar,24,Female,isaiahwest@outlook.com,18-25,15,Highly Active
U00239,vberg,32,Female,angelagonzalez@outlook.com,26-35,1,Single-course
U00240,ismith,34,Female,sullivansean@hotmail.com,26-35,2,Moderate
U00241,thomascummings,23,Female,brandyjones@yahoo.com,18-25,2,Moderate
U00242,wernerjesus,27,Male,joe20@gmail.com,26-35,2,Moderate
U00243,thomastimothy,24,Female,upennington@gmail.com,18-25,1,Single-course
U00244,josemartinez,28,Male,rebeccalamb@outlook.com,26-35,1,Single-course
U00245,twilson,31,Female,kimberly44@gmail.com,26-35,1,Single-course
U00246,william30,31,Male,jennifer12@gmail.com,26-35,1,Single-course
U00247,edwardsadam,30,Female,jessicaadams@gmail.com,26-35,1,Single-course
U00248,christopher76,17,Male,kaylafuentes@yahoo.com,<18,1,Single-course
U00249,donaldmccoy,35,Female,zparsons@hotmail.com,26-35,1,Single-course
U00250,gregorypierce,21,Male,mark81@hotmail.com,18-25,1,Single-course
U00251,summersjamie,28,Female,daniel37@outlook.com,26-35,13,Highly Active
U00252,millermary,29,Female,jasonnelson@hotmail.com,26-35,1,Single-course
U00253,ymcgrath,19,Male,steven91@gmail.com,18-25,1,Single-course
U00254,yatesadrian,19,Female,josephgraham@hotmail.com,18-25,1,Single-course
U00255,fschmidt,26,Female,zharper@gmail.com,26-35,1,Single-course
U00256,pearsonannette,35,Female,humphreyjennifer@gmail.com,26-35,1,Single-course
U00257,danielle50,29,Male,jennifer70@outlook.com,26-35,1,Single-course
U00258,marilynbailey,19,Male,paulkeller@gmail.com,18-25,1,Single-course
U00259,jennifershaw,35,Male,christopher75@gmail.com,26-35,1,Single-course
U00260,heather26,35,Male,denisesmith@yahoo.com,26-35,15,Highly Active
U00261,darrell83,28,Female,walkerjames@gmail.com,26-35,1,Single-course
U00262,dawnsawyer,24,Male,robertpotter@gmail.com,18-25,1,Single-course
U00263,chapmanjennifer,15,Male,brucejacqueline@gmail.com,<18,4,Moderate
U00264,mmullen,18,Female,wrightmargaret@outlook.com,18-25,3,Moderate
U00265,william96,15,Male,kristenmaxwell@hotmail.com,<18,14,Highly Active
U00266,fstephens,25,Female,omann@hotmail.com,18-25,1,Single-course
U00267,amandataylor,34,Male,colemanjennifer@outlook.com,26-35,4,Moderate
U00268,donna26,29,Female,andrewmorris@gmail.com,26-35,1,Single-course
U00269,brandonharper,22,Female,laura67@yahoo.com,18-25,1,Single-course
U00270,karenpratt,23,Male,reyesmorgan@outlook.com,18-25,1,Single-course
U00271,ldurham,15,Male,martinezrenee@yahoo.com,<18,1,Single-course
U00272,wvasquez,25,Male,ashley40@yahoo.com,18-25,13,Highly Active
U00273,wattsphilip,25,Female,jessicabrown@hotmail.com,18-25,1,Single-course
U00274,john92,32,Female,tcole@outlook.com,26-35,2,Moderate
U00275,benjaminmendoza,28,Female,stevenroberts@gmail.com,26-35,1,Single-course
U00276,cassandrayoung,22,Female,hilljames@outlook.com,18-25,1,Single-course
U00277,oriddle,21,Male,jeremy92@hotmail.com,18-25,1,Single-course
U00278,erikayoung,27,Male,cynthia53@hotmail.com,26-35,1,Single-course
U00279,mackenzie39,24,Male,hdavis@gmail.com,18-25,3,Moderate
U00280,psnyder,15,Male,josephtammy@hotmail.com,<18,1,Single-course
U00281,bailey28,30,Female,christopher14@yahoo.com,26-35,1,Single-course
U00282,eandrews,19,Male,jeremy00@outlook.com,18-25,14,Highly Active
U00283,mryan,28,Male,xcordova@hotmail.com,26-35,2,Moderate
U00284,gallaghergregory,30,Male,emily63@hotmail.com,26-35,1,Single-course
U00285,lunabrandon,29,Female,andersonjessica@outlook.com,26-35,1,Single-course
U00286,angelaclark,24,Female,ejackson@hotmail.com,18-25,3,Moderate
U00287,rkennedy,21,Female,syork@hotmail.com,18-25,2,Moderate
U00288,michellemartin,35,Male,brooksjeffrey@outlook.com,26-35,1,Single-course
U00289,christopher37,17,Female,johnsonchad@hotmail.com,<18,1,Single-course
U00290,frankalvarado,17,Female,alex83@hotmail.com,<18,3,Moderate
U00291,nicholas62,16,Female,ygomez@hotmail.com,<18,3,Moderate
U00292,andrewbrown,33,Male,natalie44@gmail.com,26-35,12,Highly Active
U00293,brian93,25,Female,reyesangela@gmail.com,18-25,13,Highly Active
U00294,traceybrown,21,Female,john01@gmail.com,18-25,1,Single-course
U00295,jean02,29,Male,mark44@gmail.com,26-35,1,Single-course
U00296,marshallolivia,31,Female,bassjustin@gmail.com,26-35,2,Moderate
U00297,mgarrett,29,Male,dclayton@hotmail.com,26-35,1,Single-course
U00298,steven02,32,Male,torresjoseph@outlook.com,26-35,14,Highly Active
U00299,vincentadam,20,Female,mgreer@hotmail.com,18-25,1,Single-course
U00300,anthonyhess,26,Female,meagansalas@gmail.com,26-35,2,Moderate
U00301,shale,26,Male,zprice@gmail.com,26-35,14,Highly Active
U00302,nelsonsamantha,34,Female,vjackson@yahoo.com,26-35,1,Single-course
U00303,fcollins,35,Male,benjamin32@yahoo.com,26-35,14,Highly Active
U00304,lucaswilliam,35,Male,michael33@outlook.com,26-35,1,Single-course
U00305,ypeters,22,Male,jacquelinegonzalez@yahoo.com,18-25,1,Single-course
U00306,aaronfrazier,28,Male,jsimmons@yahoo.com,26-35,1,Single-course
U00307,orichardson,33,Female,kevinrobinson@hotmail.com,26-35,1,Single-course
U00308,carrollwalter,26,Male,kimberly41@gmail.com,26-35,4,Moderate
U00309,gilbertjoseph,27,Male,jenny26@gmail.com,26-35,1,Single-course
U00310,davidbarrera,26,Female,aray@yahoo.com,26-35,11,Highly Active
U00311,mandy48,18,Female,mcfarlandangela@gmail.com,18-25,1,Single-course
U00312,hallerin,30,Female,jflores@outlook.com,26-35,1,Single-course
U00313,qsmith,29,Female,anngrant@gmail.com,26-35,1,Single-course
U00314,tgonzalez,19,Female,carmen64@gmail.com,18-25,3,Moderate
U00315,stephanie14,31,Female,desireereese@gmail.com,26-35,12,Highly Active
U00316,jasonjohnston,19,Female,umatthews@gmail.com,18-25,2,Moderate
U00317,williamscaroline,19,Male,dcunningham@hotmail.com,18-25,3,Moderate
U00318,dudleyaimee,20,Male,brian51@yahoo.com,18-25,1,Single-course
U00319,ysmith,15,Female,josephclark@hotmail.com,<18,1,Single-course
U00320,hannahromero,29,Male,rhondataylor@outlook.com,26-35,1,Single-course
U00321,mhammond,28,Male,tsosa@gmail.com,26-35,14,Highly Active
U00322,idillon,23,Male,wmoore@gmail.com,18-25,14,Highly Active
U00323,irichard,21,Female,robertsrobyn@yahoo.com,18-25,15,Highly Active
U00324,wpowell,16,Male,amy68@outlook.com,<18,1,Single-course
U00325,thomas96,26,Male,carollewis@outlook.com,26-35,1,Single-course
U00326,ashleyjohnson,25,Female,jacob36@yahoo.com,18-25,1,Single-course
U00327,hannahmccoy,31,Female,christopherdelgado@hotmail.com,26-35,4,Moderate
U00328,glennmoore,29,Female,kathygrimes@yahoo.com,26-35,15,Highly Active
U00329,ellisangela,20,Female,piercefrederick@gmail.com,18-25,12,Highly Active
U00330,jsherman,15,Female,paulirwin@hotmail.com,<18,14,Highly Active
U00331,john39,17,Male,yjohnson@outlook.com,<18,1,Single-course
U00332,steinjane,25,Male,rachelsingleton@outlook.com,18-25,1,Single-course
U00333,carmen47,26,Female,trose@outlook.com,26-35,1,Single-course
U00334,dianasanchez,24,Female,dmccarthy@hotmail.com,18-25,13,Highly Active
U00335,garneranthony,33,Female,teresafrank@gmail.com,26-35,1,Single-course
U00336,milescaitlin,19,Male,starkmargaret@yahoo.com,18-25,1,Single-course
U00337,kimberly57,29,Female,johnnycarr@outlook.com,26-35,1,Single-course
U00338,brianlee,23,Female,villegasbrandon@yahoo.com,18-25,14,Highly Active
U00339,emmaallen,29,Male,sbeard@gmail.com,26-35,16,Highly Active
U00340,george01,30,Male,hillamber@yahoo.com,26-35,14,Highly Active
U00341,ggonzalez,24,Male,abennett@yahoo.com,18-25,1,Single-course
U00342,myersmark,26,Female,richardcarpenter@hotmail.com,26-35,1,Single-course
U00343,adriana50,31,Male,lhayes@gmail.com,26-35,1,Single-course
U00344,jennifernorris,17,Male,hornejohn@yahoo.com,<18,1,Single-course
U00345,whiteheadjessica,16,Male,carolanderson@outlook.com,<18,15,Highly Active
U00346,marymcclain,33,Female,george34@outlook.com,26-35,3,Moderate
U00347,dorothy78,32,Female,turnermarcus@gmail.com,26-35,2,Moderate
U00348,wigginsearl,30,Female,bradyjason@outlook.com,26-35,1,Single-course
U00349,fostermichael,28,Male,fwhite@outlook.com,26-35,1,Single-course
U00350,fmartin,17,Male,jamiehopkins@outlook.com,<18,2,Moderate
U00351,carlsonjason,18,Female,juan61@gmail.com,18-25,13,Highly Active
U00352,danderson,28,Male,michael93@yahoo.com,26-35,15,Highly Active
U00353,webbcharles,34,Female,jeffrey93@hotmail.com,26-35,14,Highly Active
U00354,elizabeth42,35,Male,christopheralexander@outlook.com,26-35,2,Moderate
U00355,johnsonfrederick,15,Female,brenda96@gmail.com,<18,1,Single-course
U00356,donaldjacobs,21,Female,lhull@yahoo.com,18-25,15,Highly Active
U00357,ychavez,15,Female,gjohnson@yahoo.com,<18,15,Highly Active
U00358,johnmcdonald,19,Male,tylerpatterson@outlook.com,18-25,1,Single-course
U00359,jeremiahshaw,29,Female,david28@outlook.com,26-35,1,Single-course
U00360,qburke,32,Male,waterskenneth@outlook.com,26-35,1,Single-course
U00361,pmoon,18,Female,cunninghamandrew@outlook.com,18-25,1,Single-course
U00362,eugene97,16,Male,felicia89@gmail.com,<18,13,Highly Active
U00363,haysbarbara,32,Female,kennedybryan@hotmail.com,26-35,1,Single-course
